"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","REGION_NAME","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"791",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD36","46","Московская область","FZZMSK26",1225.49,397837.12
"792",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD37","22","Нижегородская область","FZZNOE24",1192.96,398886.03
"793",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD38","53","Оренбургская область","FZUROE07",1178.43,407577.74
"794",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD39","63","Саратовская область","FZVLBS15",1098.13,393352.6
"795",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD47","78","Ярославская область","FZZNOE24",1227.88,408112.28
"796",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD49","34","Костромская область","FZZNOE24",1163.68,399592.08
"797",2017-01-01,"ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD52","25","Иркутская область","FZSBOE01",1002.89,539283.63
"798",2017-01-01,"ООО ""РГМЭК""","RYAZENGR","PRYAZEL1","61","Рязанская область","FZZNOE24",1216.46,419089.12
"799",2017-01-01,"ПАО ""РЭСК"" (г.Рязань)","RYAZENER","PRYAZENE","61","Рязанская область","FZZNOE24",1217.77,419947.74
"800",2017-01-01,"ПАО ""Самараэнерго""","SAMARAEN","PSAMARAE","36","Самарская область","FZUROE07",1118.46,393038.74
"801",2017-01-01,"АО ""СамГЭС"" (г.Самара)","SAMGESGP","PSAMELS1","36","Самарская область","FZVLOE13",1162.42,392204.24
"802",2017-01-01,"ПАО ""Саратовэнерго""","SARATENE","PSARATEN","63","Саратовская область","FZVLBS15",1087.5,392615.78
"803",2017-01-01,"ООО ""СПГЭС""","SARGORES","PSARELS1","63","Саратовская область","FZVLBS15",1106.74,392738.46
"804",2017-01-01,"ООО ""СЕВЭНЕРГОСБЫТ""","SEVENSBT","PSEVENS1","67","Город Севастополь","FZYUKU20",2238.66,422579.66
"805",2017-01-01,"АО ""Севкавказэнерго""","SEVKAVEN","PSEVKAVE","90","Республика Северная Осетия-Алания","FZYUOE16",757.94,342320.9
"806",2017-01-01,"АО ""ЭК ""Восток""","ESVOSTOK","PSEVKOM1","71","Тюменская область","FZURTU08",989.23,401970.12
"807",2017-01-01,"АО ""АтомЭнергоСбыт""","ATOMSBYT","PSMOLENE","66","Смоленская область","FZZNOE24",1134.7,411421.57
"808",2017-01-01,"ПАО ""Ставропольэнергосбыт""","STAVRENE","PSTAVREN","07","Ставропольский край","FZYUOE16",1647.62,492867.72
"809",2017-01-01,"ГУП СК ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME1","07","Ставропольский край","FZYUOE16",1714.08,492605.25
"810",2017-01-01,"ГУП СК ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME2","07","Ставропольский край","FZYUOE16",1797.16,500092.94
"811",2017-01-01,"ГУП СК ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME3","07","Ставропольский край","FZYUOE16",1568.55,496493.45
"812",2017-01-01,"ГУП СК ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME4","07","Ставропольский край","FZYUOE16",1664.7,492328.57
"813",2017-01-01,"ГУП СК ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME5","07","Ставропольский край","FZYUOE16",1640.75,489428.25
"814",2017-01-01,"ГУП СК ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME6","07","Ставропольский край","FZYUOE16",1736.67,492226.75
"815",2017-01-01,"ГУП СК ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME7","07","Ставропольский край","FZYUOE16",1684.75,494379.87
"816",2017-01-01,"ГУП СК ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME8","07","Ставропольский край","FZYUOE16",1724.6,492332.66
"817",2017-01-01,"ГУП СК ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME9","07","Ставропольский край","FZYUOE16",1629.28,488601.12
