"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"20",2011-01-01,"ОАО ""Бурятэнергоcбыт""","BURYATEN","PBURYATE","81","FZSBOE01",214.953711884808,165819.175138606
"21",2011-01-01,"ОАО ""Челябэнергосбыт""","CHELENER","PCHELENE","75","FZUROE07",948.530194294803,277051.078297749
"22",2011-01-01,"ОАО ""Читинская энергосбытовая компания""","CHITAENE","PCHITAEN","76200","FZSBOE01",566.441999985425,348488.78931953
"23",2011-01-01,"ОАО ""Чувашская энергосбытовая компания""","CHUVENER","PCHUVENE","97","FZVLKZ14",975.10168308804,307470.693454857
"24",2011-01-01,"ОАО ""Дагестанская энергосбытовая компания""","DAGESBYT","PDAGENER","82","FZYUDA23",409.904180722813,181816.4698
"35",2011-01-01,"ОАО ""Екатеринбургэнергосбыт""","EKATSBKO","PEKELSK1","65","FZUROE07",924.891452436669,278614.827825778
"36",2011-01-01,"ОАО ""Электросеть"" (г.Мытищи)","ELSETMYT","PELSETMT","46","FZZMSK26",920.575006173307,315147.648148079
"47",2011-01-01,"ООО ""Энергокомфорт"". Карелия""","EKOMFORT","PENKOMF1","86","FZSZOE27",953.694284893448,356210.767837738
"48",2011-01-01,"ОАО ""470 Электрическая сеть""","OAO470ES","PESVMF01","41","FZSZOE27",898.645003751786,352952.114052277
"49",2011-01-01,"ОАО ""470 Электрическая сеть""","OAO470ES","PESVMF02","41","FZSZOE27",877.252793355659,352355.32721408
"50",2011-01-01,"ОАО ""ГОРЭЛЕКТРОСЕТЬ"" (г.Кисловодск)","GORELKIS","PGELESKS","07","FZYUOE16",1214.47896322146,284610.412023137
"51",2011-01-01,"ОАО ""Горэлектросеть"" г.Невинномысск","NEVNGORS","PGELSNV1","07","FZYUOE16",1104.85702953426,278610.155067902
"52",2011-01-01,"ОАО ""Горэлектросеть"" г.Невинномысск","NEVNGORS","PGELSNV2","07","FZYUOE16",1093.19772268502,283160.383882284
"53",2011-01-01,"МП ""Городские электрические сети"" (г.Ханты-Мансийск)","HANTGORS","PGORESHM","71","FZURTU08",951.451036588296,284594.593549031
"54",2011-01-01,"ОАО ""Хакасэнергосбыт""","HAKASENE","PHAKASEN","95","FZSBKZ02",528.890705980162,127123.307768038
"55",2011-01-01,"ОАО ""Ингушэнерго""","INGUSHEN","PINGUSHE","26","FZYUOE16",554.393187093207,134816.10224707
"60",2011-01-01,"ООО ""Иркутская Энергосбытовая компания""","IRKUTSBT","PIRKUTEN","25","FZSBOE01",525.460221723863,166082.671045154
"61",2011-01-01,"МУП ""Ивантеевские Электросети""","IVELSETI","PIVANTES","46","FZZMSK26",935.976414880324,322572.401804083
"62",2011-01-01,"ОАО ""Ивановская энергосбытовая компания""","IVENERGO","PIVENERG","24","FZZNOE24",936.435988622655,278697.7553708
"63",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK1","24","FZZNOE24",965.577253752277,277223.029165861
"64",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK2","24","FZZNOE24",924.76889883859,276253.852817251
"65",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK3","24","FZZNOE24",942.688852367838,276929.381569753
"66",2011-01-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK4","24","FZZNOE24",1050.25907317729,620564.950821599
