"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"804",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME8","07","FZYUOE16",1194.22125835419,236364.272719651
"805",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOME9","07","FZYUOE16",1116.24869114922,236103.519750161
"806",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM10","07","FZYUOE16",1116.0388584368,237093.091234855
"807",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM11","07","FZYUOE16",1113.35978694623,235479.964564379
"808",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM12","07","FZYUOE16",1073.70055652847,237788.271773391
"809",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM13","07","FZYUOE16",1243.42090937105,237525.168697296
"810",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM14","07","FZYUOE16",1225.91030114707,237876.672695696
"811",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM15","07","FZYUOE16",1177.16752855674,240334.72958741
"812",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM16","07","FZYUOE16",1067.08132658587,236134.47149722
"813",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM17","07","FZYUOE16",1097.66182292671,236417.490624699
"814",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM18","07","FZYUOE16",1164.36416117337,236762.479133232
"815",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM19","07","FZYUOE16",1119.40864450257,237114.510307191
"816",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM20","07","FZYUOE16",1101.77861772872,236508.755420982
"817",2011-03-01,"ГУП Ставропольского края ""Ставрополькоммунэлектро""","STAVRKOM","PSTKOM21","07","FZYUOE16",1130.11228582953,234973.248722861
"818",2011-03-01,"ОАО ""Свердловэнергосбыт""","SVERDLEN","PSVERDLE","65","FZUROE07",918.484628882831,243782.164961127
"819",2011-03-01,"ОАО ""Тамбовская энергосбытовая компания""","TAMBOVEN","PTAMBOVE","68","FZZNOE24",1008.26359410609,235152.994006358
"820",2011-03-01,"ОАО ""Татэнергосбыт""","TATENERG","PTATENER","92","FZURKR12",964.082489032873,236524.237707441
"821",2011-03-01,"ОАО ""Тольяттинская энергосбытовая компания""","GPTOLESB","PTEKOMP1","36","FZVLOE13",952.943188065395,227257.307735249
"822",2011-03-01,"ООО ""ТольяттиЭнергоСбыт""","TOLLENSB","PTOLESB1","36","FZUROE07",996.092665398768,234646.930042429
"823",2011-03-01,"ООО ""ТольяттиЭнергоСбыт""","TOLLENSB","PTOLESB2","36","FZVLOE13",952.956707597025,227859.049570683
"824",2011-03-01,"ОАО ""Томская энергосбытовая компания""","TOMSKENE","PTOMSKEN","69","FZSBOE01",537.620342560771,104977.696022286
"825",2011-03-01,"ОАО ""Томская энергосбытовая компания""","TOMSKENE","PTOMSKES","69","FZURTU08",747.805360742831,238187.411040367
"826",2011-03-01,"ОАО ""Тамбовская областная сбытовая компания""","TOSKTOSK","PTOSKOM1","68","FZZNOE24",1016.5442119402,235481.425853846
"827",2011-03-01,"МУП ""Троицкая электросеть""","TROIELST","PTROELS1","46","FZZMSK26",1027.44284568107,268697.993399701
"828",2011-03-01,"ОАО ""Тульская сбытовая компания""","TULENERG","PTULENER","70","FZZNOE24",1042.17252368188,235892.552308731
"830",2011-03-01,"ОАО ""Тюменская энергосбытовая компания""","TUMENENE","PTUMENEN","71","FZURTU08",802.891723649104,240515.082945603
"831",2011-03-01,"ОАО ""Тюменьэнергосбыт""","TUMENESB","PTUMREG1","71","FZURTU08",879.799514710236,239383.95562387
"832",2011-03-01,"ОАО ""Тюменьэнергосбыт""","TUMENESB","PTUMREG2","71","FZURTU08",868.663358294153,238955.891862956
"833",2011-03-01,"ОАО ""Тюменьэнергосбыт""","TUMENESB","PTUMREG3","71","FZURTU08",859.965617460237,240483.77983452
"834",2011-03-01,"ОАО ""Тюменьэнергосбыт""","TUMENESB","PTUMREG4","71","FZURTU08",843.049532689122,239650.848385413
"835",2011-03-01,"ОАО ""Тюменьэнергосбыт""","TUMENESB","PTUMREG5","71","FZURTU08",795.408335095038,238286.959500937
"836",2011-03-01,"ОАО ""Тываэнергосбыт""","TUVASBYT","PTUVENER","93","FZSBHT29",214.244034334966,117305.12806143
"837",2011-03-01,"ОАО ""Тверская энергосбытовая компания""","TVERENER","PTVERENE","28","FZZNOE24",996.26737462957,235043.673554129
"838",2011-03-01,"ООО ""Тверская областная энергосбытовая компания""","TVEROBLE","PTVOBSK1","28","FZZNOE24",1131.6993786525,235588.414882324
"839",2011-03-01,"ООО ""Тверская областная энергосбытовая компания""","TVEROBLE","PTVOBSK2","28","FZZNOE24",1057.20755569039,235300.874611253
"840",2011-03-01,"ООО ""Тверская областная энергосбытовая компания""","TVEROBLE","PTVOBSK3","28","FZZNOE24",1064.43607438589,235206.977022689
"841",2011-03-01,"ООО ""Тверская областная энергосбытовая компания""","TVEROBLE","PTVOBSK4","28","FZZNOE24",1083.35006343714,235646.272617816
"842",2011-03-01,"ОАО ""Удмуртская энергосбытовая компания""","UDMURTEN","PUDMURTE","94","FZURKR12",955.854419892213,227718.175903141
"843",2011-03-01,"ОАО ""Ульяновскэнерго""","ULYANENE","PULYANEN","73","FZVLOE13",942.917907216145,227389.603901104
"844",2011-03-01,"ЗАО ""Волгаэнергосбыт""","VOLGAESB","PVENESB1","22","FZZNOE24",1039.47085466092,235024.66380859
"845",2011-03-01,"ЗАО ""Витимэнергосбыт""","VITIMENS","PVITENSB","25","FZSBOE01",665.913091148231,111033.103833744
"846",2011-03-01,"ОАО ""Владимирская энергосбытовая компания""","VLADIMEN","PVLADIME","17","FZZNOE24",1004.00637459777,234785.709899246
"847",2011-03-01,"ОАО ""Владимирские коммунальные системы""","VLADKOMS","PVLKSIS1","17","FZZNOE24",990.979069093017,235409.718912329
"848",2011-03-01,"ОАО ""Владимирские коммунальные системы""","VLADKOMS","PVLKSIS2","17","FZZNOE24",1015.87773698969,234742.064347549
"849",2011-03-01,"ОАО ""Владимирские коммунальные системы""","VLADKOMS","PVLKSIS3","17","FZZNOE24",1023.99564746401,232721.80509556
"850",2011-03-01,"ОАО ""Владимирские коммунальные системы""","VLADKOMS","PVLKSIS4","17","FZZNOE24",1053.87395230554,234842.133686165
"851",2011-03-01,"ОАО ""Владимирские коммунальные системы""","VLADKOMS","PVLKSIS5","17","FZZNOE24",1024.62524223789,235654.488988523
"852",2011-03-01,"ОАО ""Владимирские коммунальные системы""","VLADKOMS","PVLKSIS6","17","FZZNOE24",1035.39261647767,234733.340059966
"853",2011-03-01,"ОАО ""Владимирские коммунальные системы""","VLADKOMS","PVLKSIS7","17","FZZNOE24",1023.22918279588,235654.47691412
"854",2011-03-01,"ОАО ""Владимирские коммунальные системы""","VLADKOMS","PVLKSIS8","17","FZZNOE24",1016.78263982764,232384.145727857
"855",2011-03-01,"ОАО ""Владимирские коммунальные системы""","VLADKOMS","PVLKSIS9","17","FZZNOE24",1015.27505217399,233860.677673736
"856",2011-03-01,"ОАО ""Владимирские коммунальные системы""","VLADKOMS","PVLKSI10","17","FZZNOE24",1003.57876111002,229428.968975198
"857",2011-03-01,"ОАО ""Волгоградэнергосбыт""","VOLGOGEN","PVOLGOGE","18","FZYUVG17",1037.40479875668,233613.348932573
"858",2011-03-01,"ОАО ""Вологдаэнергосбыт""","VOLOGENE","PVOLOGEN","19","FZZNVL25",992.327394216221,231412.703625864
"859",2011-03-01,"ОАО ""Воронежская энергосбытовая компания""","VORNEGEN","PVORNEGE","20","FZZNOE24",1033.33569683943,235804.614862084
"860",2011-03-01,"ООО ""Электросбытовая компания ""Ватт-Электросбыт""","ELSKVATT","PWATTEL1","89","FZVLOE13",1017.73385644822,227246.965524464
"861",2011-03-01,"ОАО ""Ярославская сбытовая компания""","YARENERG","PYARENER","78","FZZNOE24",1035.11513982077,234977.817711631
"862",2011-04-01,"ООО ""Абаканэнергосбыт""","ABAKANSB","PABAKSB1","95","FZSBHT29",513.656159781711,99593.7058387465
"863",2011-04-01,"ООО ""Абаканэнергосбыт""","ABAKANSB","PABAKSB2","95","FZSBHT29",655.860939712169,98740.2368957602
"864",2011-04-01,"ООО ""Алексинэнергосбыт""","ALEKSNSB","PALEKSB1","70","FZZNOE24",1065.62760129592,244439.205679091
"865",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN1","01","FZSBBB06",666.540359422607,197042.244294431
"866",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN2","01","FZSBBB06",541.828745521904,192138.218909151
"867",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN3","01","FZSBBB06",687.611341947192,200010.460878676
"868",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN4","01","FZSBBB06",715.163355952999,197311.098396283
"869",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN5","01","FZSBOE01",522.405051121254,67639.7018866753
"870",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN6","01","FZSBBB06",931.387191318913,199207.900700749
"871",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN7","01","FZSBBB06",614.768283559921,196198.18637541
"872",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN8","01","FZSBBB06",937.56592076536,194260.217117111
"873",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN9","01","FZSBBB06",657.257259777538,193910.876388621
"874",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE10","01","FZSBBB06",689.01048782113,195881.362284582
"875",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE11","01","FZSBBB06",960.744645622758,192090.321577598
"876",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE12","01","FZSBOE01",529.661383011116,52290.1620219467
"877",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE13","01","FZSBBB06",522.546271849105,197814.698540597
"878",2011-04-01,"ОАО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE14","01","FZSBBB06",599.069702908989,196710.410237152
"879",2011-04-01,"ОАО ""Алтайэнергосбыт""","ALTAENSB","PALTENER","01","FZSBOE01",668.638286173988,195080.089465998
"880",2011-04-01,"ОАО ""Алтайэнергосбыт""","ALTAENSB","PALTRESP","84","FZSBBB06",972.819463412958,204461.257914671
"881",2011-04-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK1","47","FZSZKO28",774.894182136864,262211.573359336
"882",2011-04-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK2","47","FZSZKO28",857.850488515002,262204.969397578
"883",2011-04-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK3","47","FZSZKO28",867.0402012444,262114.083456827
"884",2011-04-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK4","47","FZSZKO28",863.224748142363,262458.07207751
"885",2011-04-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK5","47","FZSZKO28",860.514645345624,262277.912490445
"886",2011-04-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK6","47","FZSZKO28",865.437330197814,261987.327422585
"887",2011-04-01,"ОАО ""Астраханская энергосбытовая компания""","ASTRHENE","PASTRHEN","12","FZYUAS18",1081.03625321062,237134.29677785
"888",2011-04-01,"ЗАО ""Балашихинская электросеть""","BALASHEL","PBALEST1","46","FZZMSK26",1041.81954209802,283952.139027016
"889",2011-04-01,"ОАО ""Барнаульская горэлектросеть""","BARNGORS","PBARELS1","01","FZSBBB06",698.945642536515,204934.336594788
"890",2011-04-01,"ООО ""Энергетическая сбытовая компания Башкортостана""","BASHKESK","PBASHENE","80","FZUROE07",949.130770944742,243745.992887771
"891",2011-04-01,"ОАО ""Белгородская сбытовая компания""","BELGOREN","PBELGORE","14","FZZNOE24",1056.26951764006,244107.804948837
"892",2011-04-01,"МУП ""Борисоглебская энергосбытовая организация""","MPBORISO","PBORESB1","20","FZZNOE24",1082.91074468252,244708.477833371
"893",2011-04-01,"ОАО ""Брянская сбытовая компания""","BRYANENE","PBRYANEN","15","FZZNOE24",1071.64001567885,244299.950447878
"894",2011-04-01,"МУП г.Буденновска ""Горэлектросеть""","BUDELSET","PBUDGORS","07","FZYUOE16",1175.79460487118,244148.573626058
"895",2011-04-01,"ОАО ""Бурятэнергоcбыт""","BURYATEN","PBURYATE","81","FZSBOE01",203.631840430397,157649.352564936
"896",2011-04-01,"ОАО ""Челябэнергосбыт""","CHELENER","PCHELENE","75","FZUROE07",960.952540471395,243938.280049424
"897",2011-04-01,"ОАО ""Читинская энергосбытовая компания""","CHITAENE","PCHITAEN","76200","FZSBOE01",491.688153350405,274307.235210934
"898",2011-04-01,"ОАО ""Чувашская энергосбытовая компания""","CHUVENER","PCHUVENE","97","FZVLKZ14",1063.41455845549,251991.09495074
"899",2011-04-01,"ОАО ""Дагестанская энергосбытовая компания""","DAGESBYT","PDAGENER","82","FZYUDA23",469.745358328108,199400.945621842
"910",2011-04-01,"ОАО ""Екатеринбургэнергосбыт""","EKATSBKO","PEKELSK1","65","FZUROE07",932.461124690255,243765.410600002
"911",2011-04-01,"ОАО ""Электросеть"" (г.Мытищи)","ELSETMYT","PELSETMT","46","FZZMSK26",998.665638138663,284248.696934182
"922",2011-04-01,"ООО ""Энергокомфорт"". Карелия""","EKOMFORT","PENKOMF1","86","FZSZOE27",997.827272679118,311472.952633701
"923",2011-04-01,"ОАО ""470 Электрическая сеть""","OAO470ES","PESVMF01","41","FZSZOE27",964.947626798022,311355.565056569
"924",2011-04-01,"ОАО ""470 Электрическая сеть""","OAO470ES","PESVMF02","41","FZSZOE27",954.116813031777,310995.371606234
"925",2011-04-01,"ОАО ""ГОРЭЛЕКТРОСЕТЬ"" (г.Кисловодск)","GORELKIS","PGELESKS","07","FZYUOE16",1223.10577454938,244507.737801406
"926",2011-04-01,"ОАО ""Горэлектросеть"" г.Невинномысск","NEVNGORS","PGELSNV1","07","FZYUOE16",1103.42330580829,244489.396772885
"927",2011-04-01,"ОАО ""Горэлектросеть"" г.Невинномысск","NEVNGORS","PGELSNV2","07","FZYUOE16",1101.46507749516,244163.383519941
"928",2011-04-01,"МП ""Городские электрические сети"" (г.Ханты-Мансийск)","HANTGORS","PGORESHM","71","FZURTU08",946.841632570114,248837.367757869
"929",2011-04-01,"ОАО ""Хакасэнергосбыт""","HAKASENE","PHAKASEN","95","FZSBKZ02",502.093054800747,100204.521228507
"930",2011-04-01,"ОАО ""Ингушэнерго""","INGUSHEN","PINGUSHE","26","FZYUOE16",558.512488329935,181527.924526447
"935",2011-04-01,"ООО ""Иркутская Энергосбытовая компания""","IRKUTSBT","PIRKUTEN","25","FZSBOE01",466.455282667722,254511.749044616
"936",2011-04-01,"МУП ""Ивантеевские Электросети""","IVELSETI","PIVANTES","46","FZZMSK26",1016.78167074619,284572.418083536
"937",2011-04-01,"ОАО ""Ивановская энергосбытовая компания""","IVENERGO","PIVENERG","24","FZZNOE24",1011.52034807813,244392.286788036
"938",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK1","24","FZZNOE24",1034.02638021448,244299.903400956
"939",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK2","24","FZZNOE24",1013.42034594373,244803.275521357
"940",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK3","24","FZZNOE24",1018.52496682845,244816.382885492
"941",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK4","24","FZZNOE24",1096.552121944,250807.8508
"942",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK5","24","FZZNOE24",1027.41043507547,244733.712200455
"943",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK6","24","FZZNOE24",1067.80653161691,242884.470119588
"944",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK7","24","FZZNOE24",1014.58178628498,244165.403942338
"945",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK8","24","FZZNOE24",1022.08566204725,244148.684047668
"946",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENSK9","24","FZZNOE24",1003.42272507079,244058.494730167
"947",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS10","24","FZZNOE24",1012.42907491869,244244.509549506
"948",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS11","24","FZZNOE24",1033.21494148627,245247.743053377
"949",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS12","24","FZZNOE24",1058.72409177486,244827.246661322
"950",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS13","24","FZZNOE24",1078.33473812355,244237.942089779
"951",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS14","24","FZZNOE24",1027.54109979086,244359.622896383
"952",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS15","24","FZZNOE24",1033.543550855,244305.309941912
"953",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS16","24","FZZNOE24",1120.86045844219,239174.897976463
"954",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS17","24","FZZNOE24",1009.75186196988,244594.97407237
"955",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS18","24","FZZNOE24",1003.61958214891,244713.936311262
"956",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS19","24","FZZNOE24",1115.05546731533,242203.968256216
"957",2011-04-01,"ООО ""Энергосетевая компания""","IVENERSK","PIVENS20","24","FZZNOE24",1014.78927049907,244484.314578989
"958",2011-04-01,"ОАО ""Каббалкэнерго""","KABBAGEN","PKABBAGE","83","FZYUOE16",459.101344898951,188898.398082582
"959",2011-04-01,"ОАО ""Калмэнергосбыт""","KALMENER","PKALMENE","85","FZYURS19",1091.07188859,247897.476270096
"960",2011-04-01,"ОАО ""Калужская сбытовая компания""","KALUGENE","PKALUGEN","29","FZZNOE24",1066.88404748159,244488.313883517
"961",2011-04-01,"ОАО ""Карельская энергосбытовая компания""","KARELENE","PKARELEN","86","FZSZOE27",951.778105020297,311193.078092221
"962",2011-04-01,"ОАО ""Карачаево-Черкесскэнерго""","KCHERKEN","PKCHERKE","91","FZYUOE16",426.889169111196,200416.702473786
"963",2011-04-01,"ОАО ""Кировэнергосбыт""","KIROVENE","PKIROVEN","33","FZURKR12",1050.66683575541,236931.651928304
"964",2011-04-01,"ОАО ""Кольская энергосбытовая компания""","KOLENERG","PKOLENER","47","FZSZKO28",803.65438861697,262081.874862364
"965",2011-04-01,"ОАО ""Королевская электросеть СК""","KOROLSET","PKORELS1","46","FZZMSK26",1011.21126905695,284138.664386618
"966",2011-04-01,"ОАО ""Костромская сбытовая компания""","KOSTRENE","PKOSTREN","34","FZZNOE24",1009.58931379433,244366.519620845
"967",2011-04-01,"ОАО ""Красногорская электрическая сеть""","KRASNGOR","PKRAELS1","46","FZZMSK26",1011.62289865903,284077.488013004
"968",2011-04-01,"ОАО ""Красноярскэнергосбыт""","KRASNOEN","PKRASNEN","04","FZSBOE01",489.711737983064,30787.0517501824
"969",2011-04-01,"ОАО ""Кубанская энергосбытовая компания""","KUBANESK","PKUBANEN","03","FZYUKU20",1156.20800425389,255865.59715105
"970",2011-04-01,"ОАО ""Энергосбыт"" (г.Курган)","KURGENRG","PKURGANE","37","FZUROE07",943.870987192666,243829.24135072
"971",2011-04-01,"ОАО ""Курская энергосбытовая компания""","KURSKENE","PKURSKEN","38","FZZNOE24",1041.38988162777,244449.058590671
"972",2011-04-01,"ОАО ""Кузбассэнергосбыт""","KUZBSBYT","PKUZBENE","32","FZSBOE01",580.671943038445,112754.473346598
"973",2011-04-01,"ОАО ""Петербургская сбытовая компания""","LENENERG","PLENENER","41","FZSZOE27",979.044700820625,311308.09280769
"974",2011-04-01,"ООО ""Городская энергосбытовая компания"" (г.Липецк)","GORODESK","PLGORSB1","42","FZZNOE24",1082.48295224557,244651.502615516
"977",2011-04-01,"ОАО ""Липецкая энергосбытовая компания""","LIPECKEN","PLIPECKE","42","FZZNOE24",1055.70894320784,244456.465120742
"978",2011-04-01,"ООО ""Магнитогорская энергетическая компания""","MAGNENKO","PMAGENKO","75","FZUROE07",970.518030741487,244108.303325822
"979",2011-04-01,"ОАО ""Мариэнергосбыт""","MARIENER","PMARIENE","88","FZVLKZ14",1038.37373589832,252050.135158901
"980",2011-04-01,"ООО ""Металлэнергофинанс""","METALENE","PMETALEN","32","FZSBOE01",656.989529866837,139827.334705229
"981",2011-04-01,"ОАО ""Мордовская энергосбытовая компания""","MORDOVEN","PMORDOVE","89","FZVLOE13",1037.78421959945,237293.127170257
"982",2011-04-01,"ОАО ""Мосэнергосбыт""","MOSENERG","PMOSENER","46","FZZNOE24",1015.58370840679,284001.767589701
"983",2011-04-01,"ООО ""ЭНЕРГОСБЫТХОЛДИНГ""","RUSENSBM","PMRUSGD1","46","FZZMSK26",1022.06691086277,284000.949285736
"984",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA1","03","FZYUSO22",1172.50715720726,245019.846468801
"985",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA2","03","FZYUKU20",1142.41862131786,237327.859807898
"986",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA3","03","FZYUKU20",1139.17849974984,237160.770708462
"987",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA4","03","FZYUKU20",1118.46969437111,237446.181783546
"988",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA5","03","FZYUSO22",1192.56010691834,244198.192392807
"989",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA6","03","FZYUKU20",1143.28065039649,237015.485989696
"990",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA7","03","FZYUKU20",1095.03468772824,237057.671881417
"991",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA8","03","FZYUSO22",1200.01760635305,244105.88798631
"992",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKRA9","03","FZYUKU20",1170.95343557351,236830.137701695
"993",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR10","03","FZYUKU20",1174.37675959564,237033.704571519
"994",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR11","03","FZYUKU20",1177.7229973446,237034.47946346
"995",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR12","03","FZYUKU20",1162.22285716596,236840.316060172
"996",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR13","03","FZYUKU20",1101.31265545934,237437.057474981
"997",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR14","03","FZYUSK21",1171.06150845956,361109.313773762
"998",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR15","03","FZYUKU20",1167.72157684263,237113.855035505
"999",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR16","03","FZYUKU20",1142.50142089467,237194.744891365
"1000",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR17","03","FZYUKU20",1175.31809649867,237092.889069222
"1001",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR18","03","FZYUKU20",1098.40473969654,236971.35875499
"1002",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR19","03","FZYUKU20",1094.07102881579,237076.550698273
"1004",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR21","03","FZYUSO22",1204.43816615252,244160.703754342
"1005",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR22","03","FZYUSO22",1177.57131266715,244265.479207723
"1006",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR23","03","FZYUSO22",1196.37683711815,244237.913941659
"1007",2011-04-01,"ОАО ""НЭСК""","NESKKRSN","PNESKR25","03","FZYUSO22",545.15,207079.8086
"1008",2011-04-01,"ОАО ""Нижегородская сбытовая компания""","NIGNOVEN","PNIGNOVE","22","FZZNOE24",1042.97985838216,244263.972596552
"1009",2011-04-01,"ООО ""Новомосковская энергосбытовая компания""","NOVMOSSK","PNOMESK1","70","FZZNOE24",1071.47311367362,244497.2795077
"1016",2011-04-01,"ОАО ""Новгородская энергосбытовая компания""","NOVGOREN","PNOVGORE","49","FZSZOE27",980.19444425893,311205.089205485
"1017",2011-04-01,"ОАО ""СибирьЭнерго""","SBRENERG","PNOVOSIB","50","FZSBOE01",525.498308685392,131288.866956535
"1018",2011-04-01,"ООО ""Новоуральская энергосбытовая компания""","NOVOYRAL","PNUESBK1","65","FZUROE07",908.527175850769,244309.614724217
"1019",2011-04-01,"ОАО ""Нурэнерго""","NURENERG","PNURENER","96","FZYUOE16",448.254458132159,142196.802072235
"1020",2011-04-01,"ООО ""Нижневартовская Энергосбытовая компания""","OOONESKO","PNVAREK1","71","FZURTU08",859.960843120831,248542.670063684
"1021",2011-04-01,"ОАО ""Обеспечение РФЯЦ-ВНИИЭФ""","OBESPRFC","POBESPE1","22","FZZNOE24",1015.97129325989,244370.064702706
"1022",2011-04-01,"МУП ""Объединение Истринские электросети""","ISTRSETI","POISTRS1","46","FZZMSK26",1031.95967735103,284413.021753659
"1023",2011-04-01,"МУП ""Объединение Истринские электросети""","ISTRSETI","POISTRS2","46","FZZMSK26",1045.99068222891,284078.865913651
"1024",2011-04-01,"ОАО ""Омская энергосбытовая компания""","OMSKENER","POMSKENE","52","FZSBOM03",675.444959376679,163584.802222289
"1025",2011-04-01,"ОАО ""Омская энергосбытовая компания""","OMSKENER","POMSKEZN","52","FZURTU08",981.837707601793,247492.878816733
"1026",2011-04-01,"ОАО ""Орловская сбытовая компания""","ORELENER","PORELENE","54","FZZNOE24",1075.19502694813,244209.424840983
"1027",2011-04-01,"ОАО ""Оренбургэнергосбыт""","ORENBENE","PORENBEN","53","FZUROE07",997.800913608861,243827.603727657
"1028",2011-04-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL1","53","FZUROE07",1019.26023616424,245685.429246126
"1029",2011-04-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL2","53","FZUROE07",1013.84751747103,244173.624142882
"1030",2011-04-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL3","53","FZUROE07",1028.69197696296,243231.205873624
"1031",2011-04-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL4","53","FZUROE07",1040.01299420319,244286.373114942
"1032",2011-04-01,"ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL5","53","FZUROE07",1037.39586970691,244855.082774324
"1033",2011-04-01,"ОАО ""Пензенская энергосбытовая компания""","PENZAENE","PPENZAEN","56","FZVLOE13",996.158009296057,236931.936494055
"1034",2011-04-01,"ОАО ""Пермская энергосбытовая компания""","PERMENER","PPERMENE","57","FZUROE07",967.754290459565,239826.679280802
