"","SESSION_ID","FINAL_CALCULATION_FLAG","TDATE","PNAME","PCODE","TCODE","REGION_CODE","P_NC_UNREG_AVG"
"112",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA4","03",269912.873887233
"113",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA5","03",277668.297387737
"114",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA6","03",268898.8848688
"115",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA7","03",269282.694289492
"116",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA8","03",276992.64285816
"117",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA9","03",267684.703098231
"118",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR10","03",269251.023624801
"119",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR11","03",268604.782920825
"120",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR12","03",270065.577771445
"121",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR13","03",269993.406533472
"122",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR14","03",449189.510756409
"123",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR15","03",266322.434631051
"124",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR16","03",270673.445231985
"125",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR17","03",269688.160280916
"126",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR18","03",268727.239490756
"127",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR19","03",268674.131789293
"128",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR20","03",209752.8424
"129",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR21","03",274942.552704633
"130",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR22","03",276373.962645509
"131",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR23","03",276113.985375915
"132",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR25","03",209752.8424
"133",2690,1,"2011-01-01 00:00:00.0","ОАО ""Нижегородская сбытовая компания""","NIGNOVEN","PNIGNOVE","22",284345.648438929
"134",2690,1,"2011-01-01 00:00:00.0","ООО ""Новомосковская энергосбытовая компания""","NOVMOSSK","PNOMESK1","70",278858.10325234
"135",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK1","49",354168.732193673
"136",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK2","49",354331.198877558
"137",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK3","49",354007.730162594
"138",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK4","49",353768.869008788
"139",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK5","49",353629.189102146
"140",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK6","49",354702.962339214
"141",2690,1,"2011-01-01 00:00:00.0","ОАО ""Новгородская энергосбытовая компания""","NOVGOREN","PNOVGORE","49",357355.129366615
"142",2690,1,"2011-01-01 00:00:00.0","ОАО ""СибирьЭнерго""","SBRENERG","PNOVOSIB","50",165610.640194207
"143",2690,1,"2011-01-01 00:00:00.0","ООО ""Новоуральская энергосбытовая компания""","NOVOYRAL","PNUESBK1","65",278564.071921683
"144",2690,1,"2011-01-01 00:00:00.0","ОАО ""Нурэнерго""","NURENERG","PNURENER","96",76441.0910388013
"145",2690,1,"2011-01-01 00:00:00.0","ООО ""Нижневартовская Энергосбытовая компания""","OOONESKO","PNVAREK1","71",284462.382704033
"146",2690,1,"2011-01-01 00:00:00.0","ОАО ""Обеспечение РФЯЦ-ВНИИЭФ""","OBESPRFC","POBESPE1","22",273135.9862
"147",2690,1,"2011-01-01 00:00:00.0","МУП ""Объединение ""Истринские Электросети""","ISTRSETI","POISTRS1","46",327173.86248021
"148",2690,1,"2011-01-01 00:00:00.0","МУП ""Объединение ""Истринские Электросети""","ISTRSETI","POISTRS2","46",321970.724496753
"149",2690,1,"2011-01-01 00:00:00.0","ОАО ""Омская энергосбытовая компания""","OMSKENER","POMSKENE","52",206158.877466697
"150",2690,1,"2011-01-01 00:00:00.0","ОАО ""Омская энергосбытовая компания""","OMSKENER","POMSKEZN","52",276480.246
"151",2690,1,"2011-01-01 00:00:00.0","ОАО ""Орловская сбытовая компания""","ORELENER","PORELENE","54",292366.545189178
"152",2690,1,"2011-01-01 00:00:00.0","ОАО ""Оренбургэнергосбыт""","ORENBENE","PORENBEN","53",282080.451386632
"153",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL1","53",276255.798658686
"154",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL2","53",277596.334618669
"155",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL3","53",279178.751549789
"156",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL4","53",277152.858112204
"157",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL5","53",277858.967335738
"158",2690,1,"2011-01-01 00:00:00.0","ОАО ""Пензенская энергосбытовая компания""","PENZAENE","PPENZAEN","56",273174.363729829
