"","SESSION_ID","FINAL_CALCULATION_FLAG","TDATE","PNAME","PCODE","TCODE","REGION_CODE","P_NC_UNREG_AVG","P_VC_UNREG_AVG"
"54",2690,1,"2011-01-01 00:00:00.0","ОАО ""Хакасэнергосбыт""","HAKASENE","PHAKASEN","95",127123.307768038,528.890705980162
"55",2690,1,"2011-01-01 00:00:00.0","ОАО ""Ингушэнерго""","INGUSHEN","PINGUSHE","26",134816.10224707,554.393187093207
"56",2690,1,"2011-01-01 00:00:00.0","ОАО ""ИНТЕР РАО ЕЭС""","INTRAOES","PINTORE1","54",274582.251076641,956.043589363522
"57",2690,1,"2011-01-01 00:00:00.0","ОАО ""ИНТЕР РАО ЕЭС""","INTRAOES","PINTORE2","54",274767.212891472,976.291597856744
"58",2690,1,"2011-01-01 00:00:00.0","ОАО ""ИНТЕР РАО ЕЭС""","INTRAOES","PINTORE3","54",269478.400066852,976.773238231544
"59",2690,1,"2011-01-01 00:00:00.0","ОАО ""ИНТЕР РАО ЕЭС""","INTRAOES","PINTORE4","54",272244.726884245,963.758289387002
"60",2690,1,"2011-01-01 00:00:00.0","ООО ""Иркутская Энергосбытовая компания""","IRKUTSBT","PIRKUTEN","25",166082.671045154,525.460221723863
"61",2690,1,"2011-01-01 00:00:00.0","МУП ""Ивантеевские Электросети""","IVELSETI","PIVANTES","46",322572.401804083,935.976414880324
"62",2690,1,"2011-01-01 00:00:00.0","ОАО ""Ивановская энергосбытовая компания""","IVENERGO","PIVENERG","24",278697.7553708,936.435988622655
"63",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK1","24",277223.029165861,965.577253752277
"64",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK2","24",276253.852817251,924.76889883859
"65",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK3","24",276929.381569753,942.688852367838
"66",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK4","24",620564.950821599,1050.25907317729
"67",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK5","24",279657.49262154,948.842003811562
"68",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK6","24",273136.12708215,991.418420528445
"69",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK7","24",277523.396505996,950.003979262665
"70",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK8","24",277779.591077482,952.539436037486
"71",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENSK9","24",275842.059391076,939.046964787826
"72",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS10","24",277977.183868189,951.300215707465
"73",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS11","24",282687.688332692,953.136937222399
"74",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS12","24",291308.98229778,1003.4765885026
"75",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS13","24",274866.689506779,1006.58017850571
"76",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS14","24",275995.648659795,958.231092362153
"77",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS15","24",273609.906163846,954.893911342643
"78",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS16","24",288205.948547079,1058.17848171935
"79",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS17","24",274198.273441229,928.45665251122
