"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","REGION_NAME","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"333",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR228","76200","Забайкальский край","FZSBCH04",753.78,644925.35
"334",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR229","15","Брянская область","FZZNOE24",1107.64,313771.59
"335",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR230","76200","Забайкальский край","FZSBCH04",803.73,658194.86
"336",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR231","12","Астраханская область","FZYUAS18",1246.06,470558.1
"337",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR232","69","Томская область","FZSBOE01",1243.44,504878.53
"338",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR233","58","Псковская область","FZSZOE27",1086.81,443117.06
"339",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR234","33","Кировская область","FZURKR12",1200.17,224115.29
"340",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR235","58","Псковская область","FZSZOE27",1140.26,256909.03
"341",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR236","03","Краснодарский край","FZYUKU20",1604.38,419577.51
"342",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR238","54","Орловская область","FZZNOE24",1185.76,436905.46
"343",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR239","46","Московская область","FZZMSK26",1226.54,415225.46
"344",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR240","12","Астраханская область","FZYUAS18",1245.43,496669.55
"345",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR247","34","Костромская область","FZZNOE24",1150.85,153620.07
"346",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR250","57","Пермский край","FZUROE07",1236.16,222344.78
"347",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR251","58","Псковская область","FZSZOE27",1151.66,457439.85
"348",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR252","80","Республика Башкортостан","FZUROE07",1187.28,447188.1
"349",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR253","46","Московская область","FZZMSK26",1222.9,416140.35
"350",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR254","12","Астраханская область","FZYUAS18",1210.13,475726.15
"351",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR255","12","Астраханская область","FZYUAS18",1212.25,502246.76
"352",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR256","41","Ленинградская область","FZSZOE27",1139.59,509807.81
"353",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR257","41","Ленинградская область","FZSZOE27",1057.3,364229.47
"354",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR258","38","Курская область","FZZNOE24",1065.31,418260.46
"355",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR259","57","Пермский край","FZUROE07",1195.66,198701.46
"356",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR262","28","Тверская область","FZZNOE24",1171.09,180903.32
"357",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR264","19","Вологодская область","FZZNOE24",1417.23,374826.29
"358",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR266","46","Московская область","FZZMSK26",1224.6,356437.53
"359",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR267","76200","Забайкальский край","FZSBCH04",640.94,663579.32
"360",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR272","04","Красноярский край","FZSBOE01",966.17,465984.08
"361",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR274","75","Челябинская область","FZUROE07",1104.65,447727.04
"362",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR275","70","Тульская область","FZZNOE24",1353.96,153773.15
"363",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR276","17","Владимирская область","FZZNOE24",1146.5,184482.88
"364",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR279","25","Иркутская область","FZSBOE01",1004.16,489342.82
"365",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR281","78","Ярославская область","FZZNOE24",1238.36,236254.01
"366",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR283","49","Новгородская область","FZSZOE27",1183.64,462689.52
"367",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR285","58","Псковская область","FZSZOE27",1086.76,445294.56
"368",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR288","29","Калужская область","FZZNOE24",1328.86,157828.61
"369",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR289","29","Калужская область","FZZNOE24",1206.29,460198.15
"370",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR290","29","Калужская область","FZZNOE24",1174.29,435378.27
"371",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR291","29","Калужская область","FZZNOE24",1188.8,233591.44
"372",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR292","33","Кировская область","FZURKR12",1234.41,385221.81
"373",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR293","58","Псковская область","FZSZOE27",1202.66,241717.52
"374",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR294","18","Волгоградская область","FZYUVG17",1276.36,410056.76
"375",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR299","29","Калужская область","FZZNOE24",1170.68,421757.99
"376",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR302","28","Тверская область","FZZNOE24",1263.06,189585.06
"377",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR305","18","Волгоградская область","FZYUVG17",1266.71,151063.28
"378",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR306","92","Республика Татарстан","FZURKR12",1271.09,446746.01
"379",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR307","92","Республика Татарстан","FZURKR12",1240.26,412912.27
"380",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR308","92","Республика Татарстан","FZURKR12",1199.69,435094.27
"381",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR309","38","Курская область","FZZNOE24",1173.02,241162.06
"382",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR312","28","Тверская область","FZZNOE24",1264.3,594280.41
"383",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR313","19","Вологодская область","FZZNOE24",NA,NA
"384",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR315","19","Вологодская область","FZZNOE24",1144.38,549996.85
"385",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR316","19","Вологодская область","FZZNOE24",1095.31,561877.57
"386",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR319","37","Курганская область","FZUROE07",1049.41,612492.34
"387",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR320","66","Смоленская область","FZZNOE24",1162.23,537769.88
"388",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR321","52","Омская область","FZSBOM03",1328.86,414264.04
"389",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR322","53","Оренбургская область","FZUROE07",1280.42,526112.3
"390",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR323","71","Тюменская область","FZURTU08",1159.6,143135.61
"391",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR324","46","Московская область","FZZMSK26",1230.93,502004.99
"392",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR325","46","Московская область","FZZMSK26",1205.51,398890.43
"393",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR329","58","Псковская область","FZSZOE27",1234,576434.14
"394",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR334","53","Оренбургская область","FZUROE07",1269.39,478767.89
"395",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR335","22","Нижегородская область","FZZNOE24",1268.65,426963.24
