TDATE;PCODE;PNAME;REGION_CODE;TCODE;P_NC_UNREG_AVG
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR13;269993.40653
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR14;449189.51076
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR15;266322.43463
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR16;270673.44523
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR17;269688.16028
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR18;268727.23949
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR19;268674.13179
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR21;274942.5527
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR22;276373.96265
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR23;276113.98538
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKR25;209752.8424
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKRA1;275921.9024
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKRA2;270600.66965
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKRA3;271889.07912
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKRA4;269912.87389
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKRA5;277668.29739
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKRA6;268898.88487
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKRA7;269282.69429
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKRA8;276992.64286
2011-01-01;NESKKRSN;"ОАО ""НЭСК""";03;PNESKRA9;267684.7031
2011-01-01;NIGNOVEN;"ОАО ""Нижегородская сбытовая компания""";22;PNIGNOVE;284345.64844
2011-01-01;NOVMOSSK;"ООО ""Новомосковская энергосбытовая компания""";70;PNOMESK1;278858.10325
2011-01-01;NOVGOREN;"ОАО ""Новгородская энергосбытовая компания""";49;PNOVGORE;357355.12937
2011-01-01;SBRENERG;"ОАО ""СибирьЭнерго""";50;PNOVOSIB;165610.64019
2011-01-01;NOVOYRAL;"ООО ""Новоуральская энергосбытовая компания""";65;PNUESBK1;278564.07192
2011-01-01;NURENERG;"ОАО ""Нурэнерго""";96;PNURENER;76441.091039
2011-01-01;OOONESKO;"ООО ""Нижневартовская Энергосбытовая компания""";71;PNVAREK1;284462.3827
2011-01-01;OBESPRFC;"ОАО ""Обеспечение РФЯЦ-ВНИИЭФ""";22;POBESPE1;273135.9862
2011-01-01;ISTRSETI;"МУП ""Объединение ""Истринские Электросети""";46;POISTRS1;327173.86248
2011-01-01;ISTRSETI;"МУП ""Объединение ""Истринские Электросети""";46;POISTRS2;321970.7245
2011-01-01;OMSKENER;"ОАО ""Омская энергосбытовая компания""";52;POMSKENE;206158.87747
2011-01-01;OMSKENER;"ОАО ""Омская энергосбытовая компания""";52;POMSKEZN;276480.246
2011-01-01;ORELENER;"ОАО ""Орловская сбытовая компания""";54;PORELENE;292366.54519
2011-01-01;ORENBENE;"ОАО ""Оренбургэнергосбыт""";53;PORENBEN;282080.45139
2011-01-01;ORSELSBT;"ЗАО ""Оренбургсельэнергосбыт""";53;PORENSL1;276255.79866
2011-01-01;ORSELSBT;"ЗАО ""Оренбургсельэнергосбыт""";53;PORENSL2;277596.33462
2011-01-01;ORSELSBT;"ЗАО ""Оренбургсельэнергосбыт""";53;PORENSL3;279178.75155
2011-01-01;ORSELSBT;"ЗАО ""Оренбургсельэнергосбыт""";53;PORENSL4;277152.85811
2011-01-01;ORSELSBT;"ЗАО ""Оренбургсельэнергосбыт""";53;PORENSL5;277858.96734
2011-01-01;PENZAENE;"ОАО ""Пензенская энергосбытовая компания""";56;PPENZAEN;273174.36373
2011-01-01;PERMENER;"ОАО ""Пермская энергосбытовая компания""";57;PPERMENE;272134.51909
2011-01-01;PSKOVENE;"ОАО ""Псковэнергосбыт""";58;PPSKOVEN;356753.71142
2011-01-01;PYATELSE;"ОАО ""Пятигорские электрические сети""";07;PPYATELS;285844.53706
2011-01-01;REKKURSK;"ООО ""Региональная Энергосбытовая Компания""";38;PREKKUR1;279242.74056
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL10;356098.26294
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL11;359906.8979
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL12;355592.32399
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL13;366631.85024
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL14;357286.10854
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL15;358868.90706
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL16;374125.49796
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL17;359027.35556
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSEL18;357831.57599
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO1;362003.52584
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO2;199801.6578
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO3;357483.26652
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO4;358801.79119
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO5;353780.8286
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO6;318620.86295
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO7;365139.19216
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO8;355889.75308
2011-01-01;RKSENERG;"ООО ""РКС-энерго""";41;PRKSELO9;358173.88106
2011-01-01;ROSKOMEN;"ОАО ""Роскоммунэнерго""";65;PROSKOM1;276896.48999
2011-01-01;ROSTOVEN;"ОАО ""Энергосбыт Ростовэнерго""";60;PROSTOVE;276815.10509
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD01;272360.41112
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";89;PRUSGD03;265044.24221
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";33;PRUSGD07;267673.06724
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD13;274898.32781
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD24;277570.14072
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD25;271505.16224
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD26;280772.22063
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD27;272453.88227
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";18;PRUSGD29;271247.3447
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";12;PRUSGD35;267196.80823
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";46;PRUSGD36;312071.63546
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";22;PRUSGD37;277524.63064
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";53;PRUSGD38;266853.05981
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";63;PRUSGD39;256592.43854
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";75;PRUSGD40;273594.98926
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";78;PRUSGD47;277938.59711
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";34;PRUSGD49;276242.54661
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";25;PRUSGD52;165817.52074
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";47;PRUSGDKL;300713.66217
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";41;PRUSGDLE;352654.98506
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";86;PRUSGDRK;356716.83742
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";95;PRUSGDS2;147176.17259
2011-01-01;RUSENSBI;"ООО ""РУСЭНЕРГОСБЫТ""";17;PRUSGDVL;272825.15306
2011-01-01;RYAZENGR;"ООО ""Рязанская городская муниципальная энергосбытовая компания""";61;PRYAZEL1;279755.34332
2011-01-01;RYAZENER;"ОАО ""Рязанская энергетическая сбытовая компания""";61;PRYAZENE;260611.0366
2011-01-01;SAMARAEN;"ОАО ""Самараэнерго""";36;PSAMARAE;272754.11829
2011-01-01;SAMGESGP;"ЗАО ""Самарагорэнергосбыт""";36;PSAMELS1;282577.25806
2011-01-01;SARATENE;"ОАО ""Саратовэнерго""";63;PSARATEN;267649.33766
